COLUMN,QUESTION/ATTRIBUTE,RESPONSE TYPE,ENCODING,CATEGORY CODES
VCF0502,Which party more conservative?,Categorical,Ordinal,1 - Democrats more conservative; 2 - Both the same; 3 - Repulicans more conservative
VCF0604,Trust government to do what is right,Categorical,Ordinal,1 - None of the time; 2 - Some of the time; 3 - Most of the time; 4 - Just about always
VCF0605,Government run by few big intersts or all people,Categorical,Ordinal,1 - Few big interests; 2 - DK/Both; 3 - Benefit of all
VCF0606,How much does government waste tax money,Categorical,Ordinal,1 - A lot; 2 - Some; 3 - Not very much
VCF0624,How much do elections make government pay attention to people,Categorical,Ordinal,1 - Not much; 2 - Some; 3 - A good deal
VCF0703,Did respondent register and vote?,Categorical,Ordinal,"1 - Not registered, did not vote; 2 - Registered, did not vote; 3 - Registered, did vote"
VCF0838,When should abortion be allowed,Categorical,Ordinal,1 - Never; 2 - In cases of rape/life of mother; 3 - established need; 4 - always
VCF0847,How much guidance from religion,Categorical,Ordinal,0 - None; 1 - Some; 2 - Quite a bit; 3 - A great deal
VCF0850,Authority of the bible,Categorical,Ordinal,1 - Word for word; 2 - Word of God but not literal; 3 - Not word of God
VCF0867a,Affirmative action in hiring practices,Categorical,Ordinal,1 - Favor strongly; 2 - Favor; 3 - Oppose; 4 - Oppose strongly
VCF0870,Economy better or worse past year (3 category),Categorical,Ordinal,1 - Better; 2 - Stayed same; 3 - Worse
VCF0871,Economy better or worse past year (5 category),Categorical,Ordinal,1 - Much better; 2 - Somewhat better; 3 - Stayed same; 4 - Somewhat worse; 5 - Much worse
VCF0872,Economy better or worse next year (3 category),Categorical,Ordinal,1 - Better; 2 - Stay the same; 3 - Worse
VCF0879,Increase or descrease number of immigrants to US,Categorical,Ordinal,1 - Increase a lot; 2 - Increase a little; 3 - Stay same; 4 - Decrease a little; 5 - Decrease a lot
VCF0880a,Are you better or worse off in past year,Categorical,Ordinal,1 - Much better; 2 - Somewhat better; 3 - Same; 4 - Somewhat worse; 5 - Much worse
VCF0881,Will you be better or worse off next year,Categorical,Ordinal,1 - Better; 2 - Same; 3 - Worse
VCF9009,Approve president performance on economy,Categorical,Ordinal,1 - Approve strongly; 2 - Approve; 3 - DK; 4 - Disapprove; 5 - Disapprove strongly
VCF9069,Approve US House incumbent,Categorical,Ordinal,1 - Approve strongly; 2 - Approve; 3 - DK; 4 - Disapprove; 5 - Disapprove strongly
VCF9032,Hear programs on radio about campaigns,Categorical,Ordinal,1 - None;  2 - One or two; 3 - Several; 4 - Many
VC,US Position in the world has become __ in the past year,Categorical,Ordinal,1 - Weaker; 2 - Stayed same; 3 - Stronger
VCF0105a,"Race summary, 7 categories",Categorical,One-hot,0 - NaN; 1 - White; 2 - Black; 3 - Asian/Pacific Islander; 4 - Native American ;5 - Hispanic; 6 - Other/multiple
VCF0107,Hispanic origin,Categorical,One-hot,"0 - NA; 1 - Yes, Mexican-American; 2 - Yes, Puerto-Rican; 3 - Yes, other Hispanic; 4 - Yes, DK type; 5 - No, not Hispanic; 6 - DK if Hispanic"
VCF0112,Census Region,Categorical,One-hot,1 - NE; 2 - N; 3 - S; 4 - W
VCF0116,"Work Status, 7 category",Categorical,One-hot,0 - NA; 1 - Working now; 2 - Temp laid off; 3 - Unemployed; 4 - Retired 5 - Permanently disabled; 6 - Homemaker; 7 - Student
VCF0128,Religion Major Group,Categorical,One-hot,0 - NA; 1 - Protestant; 2 - Catholic; 3 - Jewish; 4 - Other/None
VCF0147,Marital Status,Categorical,One-hot,0 - NA; 1 - Married; 2 - Never married; 3 - Divorced/Separated; 4 - Widowed; 5 - Partners
VCF0149,Think of Self as Member of Class,Categorical,One-hot,"0 - NA; 1 - Yes, middle; 2 - No, middle; 3 - Yes, working; 4 - No, working"
VCF0302,"Party Identification, 5 categories",Categorical,One-hot,1 - republican; 2 - independent; 3 - no preference; 4 - other; 5 - democrat
VCF0704a,Vote for President (2+ categories),Categorical,One-hot,1 - Democrat; 2 - Republican; 3 - Third party; 4 - NA/Did not vote
VCF0709,Ticket-splitting: President/House,Categorical,One-hot,0 - NA; 1 - Dem Pres/Dem Congress; 2 - Dem Pres/Rep Congress; 3 - Rep Pres/Dem Congress; 4 - Rep Pres/Rep Congress
VCF0709,Ticket-splitting: President/Senate,Categorical,One-hot,0 - NA; 1 - Dem Pres/Dem Congress; 2 - Dem Pres/Rep Congress; 3 - Rep Pres/Dem Congress; 4 - Rep Pres/Rep Congress
VCF0713,"Pre-election intent, vote for president",Categorical,One-hot,0 - NA; 1 - Democrat; 2 - Republican; 3 - Undecided; 4 - Will not vote; 5 - Other candidate
VCF0714,Will the election be close,Categorical,One-hot,0 - NA; 1 - Will not be close; 2 - Close race
VCF0734,Vote intention vs actual,Categorical,One-hot,0 - NA; 1 - Dem/Dem; 2 - undecided/Dem; 3 - Rep/Dem; 4 - Dem/NV-other; 5 - undecided/NV-other; 6 - Rep/NV-other; 7 - Rep/Dem; 8 - undecided/Rep; 9 - Rep/Rep
VCF0736,Vote for US House: party,Categorical,One-hot,0 - NA; 1 - Democrat; 2 - Republican; 3 - Other
VCF0804,"Scale, liberal-conservative: Self (3 category)",Categorical,One-hot,0 - NA; 1 - Liberal; 2 - Moderate; 3 - Conservative; 4 - DK
VCF0823,Better off if US unconcerend with rest of world,Categorical,One-hot,0 - NA; 1 - Agree; 2 - Disagree; 3 - DK
VCF0904,Is House incumbent running / opposed,Categorical,One-hot,0 - NA; 1 - Unopposed; 2 - Opposed; 3 - No incumbent
VCF1004,Party of R vs party of House incumbent,Categorical,One-hot,0 - NA; 1 - D/D; 2 - R/R; 3 - D/R; 4 - R/D
VCF1011,Did R vote for House candidate from own party,Categorical,One-hot,0 - NA; 1 - Yes; 2 - No
VCF9030,Contacted by which major party,Categorical,One-hot,"0 - NA; 1 - Democratic; 2 - Republican; 3 - Both; 4 - Other; 5 - Yes, DK which; 6 - Yes, NA which; 7 - No"
VCF9131,Less or more government,Categorical,One-hot,0 - NA; 1 - Less; 2 - More; 3 - DK
VCF9132,Gvmt or free market,Categorical,One-hot,0 - NA; 1 - Government handle economy; 2 - Free market; 3 - DK
VCF9133,Gvmt too involved vs Gvmt bigger because of bigger problems,Categorical,One-hot,0 - NA; 1 - Too involved; 2 - Bigger problems; 3 - DK
